Accession	Description	Plasmid	Length	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note
NZ_LR890495.1	"Klebsiella pneumoniae isolate INF018-sc-2279888 plasmid 3, complete sequence"	plasmid 3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890496.1	"Klebsiella pneumoniae isolate INF018-sc-2279888 plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890497.1	"Klebsiella pneumoniae isolate INF018-sc-2279888 plasmid 5, complete sequence"	plasmid 5	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890498.1	"Klebsiella pneumoniae isolate INF018-sc-2279888 plasmid 6, complete sequence"	plasmid 6	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890499.1	"Klebsiella pneumoniae isolate INF018-sc-2279888 plasmid 7, complete sequence"	plasmid 7	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890210.1	"Klebsiella pneumoniae isolate INF022-sc-2279895 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890211.1	"Klebsiella pneumoniae isolate INF022-sc-2279895 plasmid 3, complete sequence"	plasmid 3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890212.1	"Klebsiella pneumoniae isolate INF022-sc-2279895 plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890213.1	"Klebsiella pneumoniae isolate INF022-sc-2279895 plasmid 5, complete sequence"	plasmid 5	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890214.1	"Klebsiella pneumoniae isolate INF022-sc-2279895 plasmid 6, complete sequence"	plasmid 6	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
